epoch,loss,val_accuracy,val_macro_f1,config
1,0.5327240378834492,0.9793217535153019,0.9786143876369158,static_2_3_4
2,0.10729141160557124,0.9838709677419355,0.9832915940288052,static_2_3_4
3,0.06885826563936935,0.9838709677419355,0.9832029342422822,static_2_3_4
4,0.05117875028124165,0.9834574028122415,0.9830284844045094,static_2_3_4
1,0.5394301943196184,0.9776674937965261,0.9775849025423295,fine_tuned_2_3_4
2,0.11422635632747985,0.9834574028122415,0.982646364718704,fine_tuned_2_3_4
3,0.07109862691870734,0.9842845326716294,0.9834982850513719,fine_tuned_2_3_4
4,0.05149632906188856,0.9859387923904053,0.985710808537668,fine_tuned_2_3_4
5,0.04129751502297333,0.9851116625310173,0.9853886545290765,fine_tuned_2_3_4
6,0.03780398132170647,0.9851116625310173,0.9854416077197988,fine_tuned_2_3_4
1,0.5082288922488012,0.9768403639371381,0.9759475233616534,static_3_4_5
2,0.10303372959731424,0.9797353184449958,0.9795793990770597,static_3_4_5
3,0.06129797336975909,0.9851116625310173,0.9848562159839391,static_3_4_5
4,0.04813783139385228,0.9855252274607114,0.9856072940216684,static_3_4_5
5,0.04386316592583231,0.9822167080231596,0.9821899561685009,static_3_4_5
6,0.035193974365562805,0.9838709677419355,0.983749956619395,static_3_4_5
1,0.5021490048293855,0.9793217535153019,0.9794954311649046,fine_tuned_3_4_5
2,0.10007383188758091,0.9805624483043838,0.9804407291311478,fine_tuned_3_4_5
3,0.06314155686854636,0.9867659222497932,0.9866146136128052,fine_tuned_3_4_5
4,0.049737004947512244,0.9875930521091811,0.9877991528638376,fine_tuned_3_4_5
5,0.04171883109923005,0.9871794871794872,0.9867082647831347,fine_tuned_3_4_5
6,0.03751661837774039,0.9830438378825476,0.9831007600279787,fine_tuned_3_4_5
